Case 1
   Query 527: 384
   Query 528: 828
   Query 529: 576
   Query 530: 840
   Query 531: 198
   Query 532: 576
   Query 533: 366
   Query 534: 120
   Query 535: 96
   Query 536: 576
   Query 537: 744
   Query 538: 480
   Query 539: 480
   Query 540: 888
   Query 541: 393
   Query 542: 240
   Query 543: 456
   Query 544: 456
   Query 545: 888
   Query 546: 240
   Query 547: 768
   Query 548: 888
   Query 549: 615
   Query 550: 60
   Query 551: 144
   Query 552: 312
   Query 553: 528
   Query 554: 456
   Query 555: 0
   Query 556: 396
   Query 557: 24
   Query 558: 456
   Query 559: 768
   Query 560: 696
   Query 561: 294
   Query 562: 0
   Query 563: 120
   Query 564: 864
   Query 565: 840
   Query 566: 504
   Query 567: 816
   Query 568: 576
   Query 569: 864
   Query 570: 624
   Query 571: 288
   Query 572: 304
   Query 573: 576
   Query 574: 288
   Query 575: 228
   Query 576: 528
   Query 577: 288
   Query 578: 744
   Query 579: 500
   Query 580: 168
   Query 581: 804
   Query 582: 72
   Query 583: 528
   Query 584: 180
   Query 585: 136
   Query 586: 216
   Query 587: 288
   Query 588: 576
   Query 589: 744
   Query 590: 336
   Query 591: 690
   Query 592: 456
   Query 593: 792
   Query 594: 192
   Query 595: 240
   Query 596: 852
   Query 597: 324
   Query 598: 639
   Query 599: 96
   Query 600: 456
   Query 601: 168
   Query 602: 342
   Query 603: 120
   Query 604: 516
   Query 605: 132
   Query 606: 432
   Query 607: 798
   Query 608: 672
   Query 609: 192
   Query 610: 120
   Query 611: 592
   Query 612: 840
   Query 613: 576
   Query 614: 174
   Query 615: 456
   Query 616: 312
   Query 617: 120
   Query 618: 624
   Query 619: 480
   Query 620: 72
   Query 621: 168
   Query 622: 504
   Query 623: 408
   Query 624: 168
   Query 625: 720
   Query 626: 360
   Query 627: 48
   Query 628: 216
   Query 629: 612
   Query 630: 120
   Query 631: 744
   Query 632: 216
   Query 633: 888
   Query 634: 228
   Query 635: 270
   Query 636: 192
   Query 637: 528
   Query 638: 372
   Query 639: 456
   Query 640: 876
   Query 641: 456
   Query 642: 408
   Query 643: 456
   Query 644: 804
   Query 645: 648
   Query 646: 576
   Query 647: 576
   Query 648: 180
   Query 649: 720
   Query 650: 288
   Query 651: 0
   Query 652: 120
   Query 653: 120
   Query 654: 114
   Query 655: 336
   Query 656: 792
   Query 657: 120
   Query 658: 0
   Query 659: 528
   Query 660: 567
   Query 661: 0
   Query 662: 816
   Query 663: 120
   Query 664: 0
   Query 665: 528
   Query 666: 636
   Query 667: 120
   Query 668: 48
   Query 669: 864
   Query 670: 576
   Query 671: 888
   Query 672: 282
   Query 673: 589
   Query 674: 504
   Query 675: 666
   Query 676: 177
   Query 677: 288
   Query 678: 120
   Query 679: 0
   Query 680: 48
   Query 681: 636
Case 4
   Query 1: 57
   Query 2: 171
   Query 3: 855
   Query 4: 456
   Query 5: 0
   Query 6: 399
   Query 7: 615
   Query 8: 57
   Query 9: 627
   Query 10: 114
   Query 11: 855
   Query 12: 285
   Query 13: 456
   Query 14: 169
   Query 15: 171
   Query 16: 627
   Query 17: 513
   Query 18: 0
   Query 19: 0
   Query 20: 855
   Query 21: 297
   Query 22: 741
   Query 23: 165
   Query 24: 855
   Query 25: 266
   Query 26: 513
   Query 27: 855
   Query 28: 399
   Query 29: 741
   Query 30: 399
   Query 31: 888
   Query 32: 231
   Query 33: 57
   Query 34: 171
   Query 35: 570
   Query 36: 456
   Query 37: 258
   Query 38: 57
   Query 39: 342
   Query 40: 204
   Query 41: 0
   Query 42: 855
   Query 43: 342
   Query 44: 855
   Query 45: 285
   Query 46: 855
   Query 47: 114
   Query 48: 759
   Query 49: 693
   Query 50: 456
   Query 51: 570
   Query 52: 513
   Query 53: 627
   Query 54: 114
   Query 55: 342
   Query 56: 399
   Query 57: 627
   Query 58: 855
   Query 59: 696
   Query 60: 342
   Query 61: 456
   Query 62: 342
Case 5
   Query 1: 798
   Query 2: 114
   Query 3: 798
   Query 4: 114
   Query 5: 366
   Query 6: 84
   Query 7: 147
   Query 8: 627
   Query 9: 798
   Query 10: 399
   Query 11: 603
   Query 12: 756
   Query 13: 570
   Query 14: 456
   Query 15: 597
   Query 16: 342
   Query 17: 330
   Query 18: 690
   Query 19: 810
   Query 20: 171
   Query 21: 456
   Query 22: 855
   Query 23: 252
   Query 24: 72
   Query 25: 375
   Query 26: 333
   Query 27: 585
   Query 28: 456
   Query 29: 855
   Query 30: 522
   Query 31: 258
   Query 32: 126
   Query 33: 285
   Query 34: 399
   Query 35: 855
   Query 36: 855
   Query 37: 285
   Query 38: 168
   Query 39: 627
   Query 40: 270
   Query 41: 741
   Query 42: 399
   Query 43: 684
   Query 44: 768
   Query 45: 228
   Query 46: 102
   Query 47: 627
   Query 48: 228
   Query 49: 171
   Query 50: 123
   Query 51: 678
   Query 52: 381
   Query 53: 492
   Query 54: 0
   Query 55: 240
   Query 56: 462
   Query 57: 285
   Query 58: 651
   Query 59: 570
   Query 60: 570
   Query 61: 504
   Query 62: 285
   Query 63: 813
   Query 64: 570
   Query 65: 789
   Query 66: 528
   Query 67: 342
   Query 68: 696
   Query 69: 342
   Query 70: 570
   Query 71: 570
   Query 72: 57
   Query 73: 219
   Query 74: 588
   Query 75: 129
   Query 76: 714
   Query 77: 342
   Query 78: 441
   Query 79: 114
   Query 80: 114
   Query 81: 855
   Query 82: 741
   Query 83: 435
   Query 84: 114
   Query 85: 171
   Query 86: 684
   Query 87: 456
   Query 88: 867
   Query 89: 114
   Query 90: 0
   Query 91: 570
   Query 92: 267
   Query 93: 381
   Query 94: 0
   Query 95: 798
   Query 96: 0
   Query 97: 375
   Query 98: 606
   Query 99: 399
   Query 100: 522
   Query 101: 285
   Query 102: 690
   Query 103: 519
   Query 104: 516
   Query 105: 114
   Query 106: 660
   Query 107: 798
   Query 108: 171
   Query 109: 690
   Query 110: 456
   Query 111: 276
   Query 112: 585
   Query 113: 114
   Query 114: 489
   Query 115: 618
   Query 116: 36
   Query 117: 855
   Query 118: 627
   Query 119: 228
   Query 120: 597
   Query 121: 21
   Query 122: 870
   Query 123: 684
   Query 124: 420
   Query 125: 855
   Query 126: 864
   Query 127: 81
   Query 128: 627
   Query 129: 627
   Query 130: 39
   Query 131: 0
   Query 132: 495
   Query 133: 570
   Query 134: 48
   Query 135: 801
   Query 136: 276
   Query 137: 798
   Query 138: 57
   Query 139: 570
   Query 140: 96
   Query 141: 99
   Query 142: 513
   Query 143: 228
   Query 144: 285
   Query 145: 342
   Query 146: 885
   Query 147: 12
   Query 148: 684
   Query 149: 456
   Query 150: 216
   Query 151: 0
   Query 152: 798
   Query 153: 426
   Query 154: 285
   Query 155: 9
   Query 156: 0
   Query 157: 480
   Query 158: 255
   Query 159: 741
   Query 160: 741
   Query 161: 570
   Query 162: 714
   Query 163: 57
   Query 164: 150
   Query 165: 369
   Query 166: 798
   Query 167: 684
   Query 168: 285
   Query 169: 480
   Query 170: 342
   Query 171: 636
   Query 172: 531
   Query 173: 684
   Query 174: 228
   Query 175: 420
   Query 176: 513
   Query 177: 93
   Query 178: 213
   Query 179: 846
   Query 180: 564
   Query 181: 855
   Query 182: 882
   Query 183: 684
   Query 184: 18
   Query 185: 264
   Query 186: 48
   Query 187: 741
   Query 188: 399
   Query 189: 651
   Query 190: 846
   Query 191: 0
   Query 192: 810
   Query 193: 171
   Query 194: 456
   Query 195: 456
   Query 196: 42
   Query 197: 639
   Query 198: 690
   Query 199: 528
   Query 200: 834
   Query 201: 342
   Query 202: 870
   Query 203: 456
   Query 204: 699
   Query 205: 855
   Query 206: 813
   Query 207: 792
   Query 208: 369
   Query 209: 410
   Query 210: 102
   Query 211: 180
   Query 212: 570
   Query 213: 339
   Query 214: 270
   Query 215: 513
   Query 216: 867
   Query 217: 714
   Query 218: 870
   Query 219: 204
   Query 220: 855
   Query 221: 42
   Query 222: 741
   Query 223: 855
   Query 224: 741
   Query 225: 414
   Query 226: 285
   Query 227: 399
   Query 228: 408
   Query 229: 831
   Query 230: 513
   Query 231: 270
   Query 232: 855
   Query 233: 537
   Query 234: 798
   Query 235: 684
   Query 236: 564
   Query 237: 0
   Query 238: 399
   Query 239: 228
   Query 240: 750
   Query 241: 0
   Query 242: 132
   Query 243: 342
   Query 244: 855
   Query 245: 402
   Query 246: 0
   Query 247: 342
   Query 248: 513
   Query 249: 267
   Query 250: 228
   Query 251: 114
   Query 252: 798
   Query 253: 675
   Query 254: 57
   Query 255: 228
   Query 256: 93
   Query 257: 798
   Query 258: 597
   Query 259: 366
   Query 260: 504
   Query 261: 114
   Query 262: 285
   Query 263: 513
   Query 264: 135
   Query 265: 183
   Query 266: 855
   Query 267: 237
   Query 268: 549
   Query 269: 285
   Query 270: 399
   Query 271: 228
   Query 272: 831
   Query 273: 51
   Query 274: 513
   Query 275: 33
   Query 276: 84
   Query 277: 513
   Query 278: 708
   Query 279: 555
   Query 280: 456
   Query 281: 765
   Query 282: 894
   Query 283: 114
   Query 284: 114
   Query 285: 171
   Query 286: 114
   Query 287: 342
   Query 288: 753
   Query 289: 684
   Query 290: 294
   Query 291: 798
   Query 292: 285
   Query 293: 513
   Query 294: 741
   Query 295: 765
   Query 296: 456
   Query 297: 102
   Query 298: 522
   Query 299: 285
   Query 300: 456
   Query 301: 657
   Query 302: 165
   Query 303: 399
   Query 304: 228
   Query 305: 558
   Query 306: 258
   Query 307: 294
   Query 308: 822
   Query 309: 228
   Query 310: 114
   Query 311: 228
   Query 312: 354
   Query 313: 798
   Query 314: 648
   Query 315: 114
   Query 316: 474
   Query 317: 291
   Query 318: 456
   Query 319: 219
   Query 320: 798
   Query 321: 684
   Query 322: 114
   Query 323: 0
   Query 324: 0
   Query 325: 570
   Query 326: 144
   Query 327: 684
   Query 328: 543
   Query 329: 456
   Query 330: 180
   Query 331: 171
   Query 332: 273
   Query 333: 0
   Query 334: 798
   Query 335: 228
   Query 336: 855
   Query 337: 315
   Query 338: 570
   Query 339: 589
   Query 340: 399
   Query 341: 228
   Query 342: 294
   Query 343: 603
   Query 344: 300
   Query 345: 380
   Query 346: 765
   Query 347: 627
   Query 348: 435
   Query 349: 21
   Query 350: 30
   Query 351: 798
   Query 352: 741
   Query 353: 744
   Query 354: 879
   Query 355: 84
   Query 356: 399
   Query 357: 213
   Query 358: 456
   Query 359: 891
   Query 360: 663
   Query 361: 114
   Query 362: 684
   Query 363: 765
   Query 364: 744
   Query 365: 81
   Query 366: 570
   Query 367: 627
   Query 368: 570
   Query 369: 570
   Query 370: 570
   Query 371: 456
   Query 372: 855
   Query 373: 723
   Query 374: 564
   Query 375: 798
   Query 376: 513
   Query 377: 513
   Query 378: 741
   Query 379: 456
   Query 380: 399
   Query 381: 114
   Query 382: 798
   Query 383: 429
   Query 384: 456
   Query 385: 873
   Query 386: 342
   Query 387: 342
   Query 388: 798
   Query 389: 285
   Query 390: 627
   Query 391: 684
   Query 392: 786
   Query 393: 114
   Query 394: 342
   Query 395: 603
   Query 396: 114
   Query 397: 621
   Query 398: 729
   Query 399: 570
   Query 400: 105
   Query 401: 0
   Query 402: 219
   Query 403: 516
   Query 404: 684
   Query 405: 228
   Query 406: 774
   Query 407: 822
   Query 408: 57
   Query 409: 342
   Query 410: 57
   Query 411: 54
   Query 412: 114
   Query 413: 180
   Query 414: 678
   Query 415: 570
   Query 416: 570
   Query 417: 798
   Query 418: 381
   Query 419: 114
   Query 420: 753
   Query 421: 228
   Query 422: 564
   Query 423: 456
   Query 424: 627
   Query 425: 228
   Query 426: 489
   Query 427: 798
   Query 428: 24
   Query 429: 504
   Query 430: 711
   Query 431: 699
   Query 432: 108
   Query 433: 342
   Query 434: 630
   Query 435: 627
   Query 436: 15
   Query 437: 213
   Query 438: 855
   Query 439: 528
   Query 440: 441
   Query 441: 546
   Query 442: 276
   Query 443: 513
   Query 444: 522
   Query 445: 285
   Query 446: 684
   Query 447: 798
   Query 448: 219
   Query 449: 729
   Query 450: 114
   Query 451: 399
   Query 452: 114
   Query 453: 171
   Query 454: 399
   Query 455: 570
   Query 456: 684
   Query 457: 0
   Query 458: 210
   Query 459: 285
   Query 460: 219
   Query 461: 228
   Query 462: 318
   Query 463: 228
   Query 464: 591
   Query 465: 684
   Query 466: 114
   Query 467: 798
   Query 468: 0
   Query 469: 285
   Query 470: 789
   Query 471: 171
   Query 472: 795
   Query 473: 369
   Query 474: 627
   Query 475: 714
   Query 476: 486
   Query 477: 453
   Query 478: 886
   Query 479: 684
   Query 480: 180
   Query 481: 456
   Query 482: 618
   Query 483: 342
   Query 484: 741
   Query 485: 342
   Query 486: 588
   Query 487: 387
   Query 488: 768
   Query 489: 114
   Query 490: 855
   Query 491: 285
   Query 492: 636
   Query 493: 285
   Query 494: 684
   Query 495: 12
   Query 496: 636
   Query 497: 672
   Query 498: 570
   Query 499: 660
   Query 500: 114
   Query 501: 732
   Query 502: 138
   Query 503: 399
   Query 504: 576
   Query 505: 570
   Query 506: 684
   Query 507: 360
   Query 508: 399
   Query 509: 0
   Query 510: 435
   Query 511: 774
   Query 512: 228
   Query 513: 213
   Query 514: 660
   Query 515: 456
   Query 516: 798
   Query 517: 450
   Query 518: 570
   Query 519: 225
   Query 520: 684
   Query 521: 570
   Query 522: 228
   Query 523: 399
   Query 524: 627
   Query 525: 684
   Query 526: 171
   Query 527: 114
   Query 528: 342
   Query 529: 684
   Query 530: 171
   Query 531: 255
   Query 532: 342
   Query 533: 381
   Query 534: 0
   Query 535: 102
   Query 536: 627
   Query 537: 855
   Query 538: 285
   Query 539: 114
   Query 540: 717
   Query 541: 9
   Query 542: 813
   Query 543: 570
   Query 544: 537
   Query 545: 456
   Query 546: 627
   Query 547: 855
   Query 548: 237
   Query 549: 561
   Query 550: 285
   Query 551: 228
   Query 552: 627
   Query 553: 357
   Query 554: 798
   Query 555: 267
   Query 556: 354
   Query 557: 537
   Query 558: 342
   Query 559: 570
   Query 560: 90
   Query 561: 798
   Query 562: 855
   Query 563: 18
   Query 564: 204
   Query 565: 249
   Query 566: 513
   Query 567: 291
   Query 568: 537
   Query 569: 798
   Query 570: 642
   Query 571: 570
   Query 572: 456
   Query 573: 684
   Query 574: 114
   Query 575: 171
   Query 576: 513
   Query 577: 707
   Query 578: 150
   Query 579: 552
   Query 580: 798
   Query 581: 648
   Query 582: 57
   Query 583: 684
   Query 584: 0
   Query 585: 114
   Query 586: 549
   Query 587: 513
   Query 588: 285
   Query 589: 114
   Query 590: 852
   Query 591: 399
   Query 592: 477
   Query 593: 888
   Query 594: 714
   Query 595: 0
   Query 596: 21
   Query 597: 552
   Query 598: 432
   Query 599: 684
   Query 600: 456
   Query 601: 654
   Query 602: 462
   Query 603: 114
   Query 604: 798
   Query 605: 645
   Query 606: 114
   Query 607: 570
   Query 608: 342
   Query 609: 171
   Query 610: 285
   Query 611: 228
   Query 612: 894
   Query 613: 444
   Query 614: 303
   Query 615: 291
   Query 616: 0
   Query 617: 804
   Query 618: 660
   Query 619: 732
   Query 620: 636
   Query 621: 627
   Query 622: 789
   Query 623: 399
   Query 624: 744
   Query 625: 306
   Query 626: 798
   Query 627: 798
   Query 628: 513
   Query 629: 0
   Query 630: 798
   Query 631: 711
   Query 632: 114
   Query 633: 48
   Query 634: 855
   Query 635: 114
   Query 636: 366
   Query 637: 627
   Query 638: 15
   Query 639: 513
   Query 640: 36
   Query 641: 171
   Query 642: 456
   Query 643: 780
   Query 644: 798
   Query 645: 684
   Query 646: 627
   Query 647: 456
   Query 648: 765
   Query 649: 319
   Query 650: 798
   Query 651: 585
   Query 652: 570
   Query 653: 228
   Query 654: 0
   Query 655: 402
   Query 656: 456
   Query 657: 528
   Query 658: 3
   Query 659: 570
   Query 660: 711
   Query 661: 228
   Query 662: 210
   Query 663: 795
   Query 664: 475
   Query 665: 342
   Query 666: 222
   Query 667: 408
   Query 668: 342
   Query 669: 741
   Query 670: 294
   Query 671: 660
   Query 672: 621
   Query 673: 513
   Query 674: 876
Case 6
   Query 1: 0
   Query 2: 160
   Query 3: 456
   Query 4: 0
   Query 5: 456
   Query 6: 608
   Query 7: 152
   Query 8: 608
   Query 9: 304
   Query 10: 432
   Query 11: 760
   Query 12: 760
   Query 13: 109
   Query 14: 304
   Query 15: 760
   Query 16: 720
   Query 17: 0
   Query 18: 0
   Query 19: 608
   Query 20: 0
   Query 21: 416
   Query 22: 836
   Query 23: 494
   Query 24: 284
   Query 25: 880
   Query 26: 0
   Query 27: 76
   Query 28: 336
   Query 29: 318
   Query 30: 0
   Query 31: 0
   Query 32: 494
   Query 33: 555
   Query 34: 0
   Query 35: 113
   Query 36: 152
   Query 37: 456
   Query 38: 256
   Query 39: 304
   Query 40: 57
   Query 41: 152
   Query 42: 760
   Query 43: 0
   Query 44: 608
   Query 45: 608
   Query 46: 608
   Query 47: 304
   Query 48: 456
   Query 49: 532
   Query 50: 152
   Query 51: 608
   Query 52: 608
   Query 53: 836
   Query 54: 174
   Query 55: 0
   Query 56: 760
   Query 57: 304
   Query 58: 0
   Query 59: 0
   Query 60: 684
   Query 61: 304
   Query 62: 760
   Query 63: 456
   Query 64: 648
   Query 65: 608
   Query 66: 304
   Query 67: 76
   Query 68: 304
   Query 69: 200
   Query 70: 0
   Query 71: 456
   Query 72: 608
   Query 73: 304
   Query 74: 456
   Query 75: 76
   Query 76: 0
   Query 77: 380
   Query 78: 640
   Query 79: 0
   Query 80: 304
   Query 81: 304
   Query 82: 304
   Query 83: 256
   Query 84: 0
   Query 85: 304
   Query 86: 304
   Query 87: 152
   Query 88: 240
   Query 89: 836
   Query 90: 152
   Query 91: 304
   Query 92: 304
   Query 93: 760
   Query 94: 608
   Query 95: 817
   Query 96: 165
   Query 97: 112
   Query 98: 0
   Query 99: 760
   Query 100: 688
   Query 101: 304
   Query 102: 532
   Query 103: 688
   Query 104: 760
   Query 105: 760
   Query 106: 0
   Query 107: 0
   Query 108: 247
   Query 109: 0
   Query 110: 216
   Query 111: 0
   Query 112: 304
   Query 113: 760
   Query 114: 400
   Query 115: 528
   Query 116: 456
   Query 117: 608
   Query 118: 304
   Query 119: 760
   Query 120: 152
   Query 121: 856
   Query 122: 760
   Query 123: 304
   Query 124: 304
   Query 125: 152
   Query 126: 380
   Query 127: 304
   Query 128: 77
   Query 129: 608
   Query 130: 280
   Query 131: 532
   Query 132: 0
   Query 133: 760
   Query 134: 760
   Query 135: 380
   Query 136: 608
   Query 137: 0
   Query 138: 228
   Query 139: 0
   Query 140: 304
   Query 141: 152
   Query 142: 304
   Query 143: 816
   Query 144: 399
   Query 145: 456
   Query 146: 424
   Query 147: 304
   Query 148: 440
   Query 149: 0
   Query 150: 456
   Query 151: 76
   Query 152: 0
   Query 153: 760
   Query 154: 760
   Query 155: 304
   Query 156: 152
   Query 157: 0
   Query 158: 0
   Query 159: 888
   Query 160: 152
   Query 161: 608
   Query 162: 0
   Query 163: 608
   Query 164: 456
   Query 165: 456
   Query 166: 0
   Query 167: 38
   Query 168: 304
   Query 169: 456
   Query 170: 456
   Query 171: 208
   Query 172: 722
   Query 173: 380
   Query 174: 68
   Query 175: 0
   Query 176: 304
   Query 177: 304
   Query 178: 0
   Query 179: 176
   Query 180: 0
   Query 181: 616
   Query 182: 608
   Query 183: 481
   Query 184: 0
   Query 185: 100
   Query 186: 304
   Query 187: 408
   Query 188: 456
   Query 189: 608
   Query 190: 0
   Query 191: 0
   Query 192: 0
   Query 193: 304
   Query 194: 684
   Query 195: 836
   Query 196: 760
   Query 197: 0
   Query 198: 304
   Query 199: 248
   Query 200: 728
   Query 201: 816
   Query 202: 627
   Query 203: 684
   Query 204: 456
   Query 205: 760
   Query 206: 684
   Query 207: 228
   Query 208: 152
   Query 209: 608
   Query 210: 5
   Query 211: 10
   Query 212: 0
   Query 213: 836
   Query 214: 304
   Query 215: 608
   Query 216: 0
   Query 217: 152
   Query 218: 684
   Query 219: 608
   Query 220: 608
   Query 221: 456
   Query 222: 0
   Query 223: 0
   Query 224: 0
   Query 225: 855
   Query 226: 152
   Query 227: 608
   Query 228: 456
   Query 229: 228
   Query 230: 764
   Query 231: 528
   Query 232: 608
   Query 233: 456
   Query 234: 152
   Query 235: 836
   Query 236: 475
   Query 237: 608
   Query 238: 456
   Query 239: 304
   Query 240: 528
   Query 241: 0
   Query 242: 760
   Query 243: 304
   Query 244: 0
   Query 245: 0
   Query 246: 504
   Query 247: 304
   Query 248: 608
   Query 249: 760
   Query 250: 160
   Query 251: 760
   Query 252: 836
   Query 253: 608
   Query 254: 0
   Query 255: 272
   Query 256: 266
   Query 257: 0
   Query 258: 182
   Query 259: 0
   Query 260: 0
   Query 261: 152
   Query 262: 456
   Query 263: 456
   Query 264: 532
   Query 265: 0
   Query 266: 456
   Query 267: 152
   Query 268: 288
   Query 269: 152
   Query 270: 798
   Query 271: 624
   Query 272: 608
   Query 273: 212
   Query 274: 864
   Query 275: 0
   Query 276: 289
   Query 277: 304
Case 7
   Query 1: 384
   Query 2: 304
   Query 3: 828
   Query 4: 496
   Query 5: 304
   Query 6: 528
   Query 7: 420
   Query 8: 576
   Query 9: 240
   Query 10: 460
   Query 11: 792
   Query 12: 504
   Query 13: 216
   Query 14: 528
   Query 15: 0
   Query 16: 144
   Query 17: 714
   Query 18: 768
   Query 19: 768
   Query 20: 720
   Query 21: 480
   Query 22: 528
   Query 23: 192
   Query 24: 72
   Query 25: 720
   Query 26: 768
   Query 27: 0
   Query 28: 384
   Query 29: 384
   Query 30: 528
   Query 31: 384
   Query 32: 672
   Query 33: 768
   Query 34: 384
   Query 35: 384
   Query 36: 720
   Query 37: 672
   Query 38: 24
   Query 39: 224
   Query 40: 312
   Query 41: 360
   Query 42: 768
   Query 43: 384
   Query 44: 576
   Query 45: 384
   Query 46: 528
   Query 47: 384
   Query 48: 384
   Query 49: 0
   Query 50: 144
   Query 51: 144
   Query 52: 798
   Query 53: 528
   Query 54: 608
   Query 55: 216
   Query 56: 0
   Query 57: 840
   Query 58: 384
   Query 59: 720
   Query 60: 384
   Query 61: 276
   Query 62: 336
   Query 63: 120
   Query 64: 144
   Query 65: 384
   Query 66: 42
   Query 67: 144
   Query 68: 528
   Query 69: 84
   Query 70: 528
   Query 71: 42
   Query 72: 464
   Query 73: 144
   Query 74: 768
   Query 75: 840
   Query 76: 384
   Query 77: 528
   Query 78: 120
   Query 79: 0
   Query 80: 216
   Query 81: 756
   Query 82: 672
   Query 83: 0
   Query 84: 48
   Query 85: 114
   Query 86: 464
   Query 87: 384
   Query 88: 576
   Query 89: 160
   Query 90: 528
   Query 91: 384
   Query 92: 688
   Query 93: 576
   Query 94: 144
   Query 95: 816
   Query 96: 588
   Query 97: 16
   Query 98: 384
   Query 99: 272
   Query 100: 720
   Query 101: 216
   Query 102: 224
   Query 103: 872
   Query 104: 832
   Query 105: 456
   Query 106: 384
   Query 107: 304
   Query 108: 600
   Query 109: 888
   Query 110: 272
   Query 111: 72
   Query 112: 600
   Query 113: 48
   Query 114: 144
   Query 115: 0
   Query 116: 768
   Query 117: 864
   Query 118: 528
   Query 119: 528
   Query 120: 900
   Query 121: 876
   Query 122: 192
   Query 123: 192
   Query 124: 0
   Query 125: 48
   Query 126: 384
   Query 127: 312
   Query 128: 144
   Query 129: 528
   Query 130: 24
   Query 131: 576
   Query 132: 528
   Query 133: 768
   Query 134: 312
   Query 135: 528
   Query 136: 696
   Query 137: 528
   Query 138: 768
   Query 139: 0
   Query 140: 432
   Query 141: 0
   Query 142: 768
   Query 143: 0
   Query 144: 192
   Query 145: 192
   Query 146: 464
   Query 147: 16
   Query 148: 0
   Query 149: 384
   Query 150: 672
   Query 151: 696
   Query 152: 636
   Query 153: 304
   Query 154: 288
   Query 155: 168
   Query 156: 744
   Query 157: 528
   Query 158: 552
   Query 159: 768
   Query 160: 688
   Query 161: 384
   Query 162: 528
   Query 163: 576
   Query 164: 192
   Query 165: 528
   Query 166: 840
   Query 167: 308
   Query 168: 300
   Query 169: 336
   Query 170: 768
   Query 171: 600
   Query 172: 144
   Query 173: 672
   Query 174: 528
   Query 175: 384
   Query 176: 784
   Query 177: 432
   Query 178: 0
   Query 179: 96
   Query 180: 0
   Query 181: 0
   Query 182: 288
   Query 183: 384
   Query 184: 768
   Query 185: 336
   Query 186: 0
   Query 187: 552
   Query 188: 312
   Query 189: 816
   Query 190: 594
   Query 191: 768
   Query 192: 768
   Query 193: 588
   Query 194: 384
   Query 195: 0
   Query 196: 570
   Query 197: 304
   Query 198: 780
   Query 199: 240
   Query 200: 384
   Query 201: 528
   Query 202: 0
   Query 203: 0
   Query 204: 144
   Query 205: 312
   Query 206: 0
   Query 207: 0
   Query 208: 528
   Query 209: 636
   Query 210: 72
   Query 211: 648
   Query 212: 144
   Query 213: 120
   Query 214: 888
   Query 215: 42
   Query 216: 144
   Query 217: 528
   Query 218: 816
   Query 219: 432
   Query 220: 0
   Query 221: 232
   Query 222: 528
   Query 223: 504
   Query 224: 384
   Query 225: 312
   Query 226: 768
   Query 227: 384
   Query 228: 384
   Query 229: 864
   Query 230: 192
   Query 231: 768
   Query 232: 840
   Query 233: 336
   Query 234: 0
   Query 235: 144
   Query 236: 144
   Query 237: 0
   Query 238: 825
   Query 239: 264
   Query 240: 384
   Query 241: 840
   Query 242: 0
   Query 243: 72
   Query 244: 192
   Query 245: 30
   Query 246: 600
   Query 247: 0
   Query 248: 384
   Query 249: 120
   Query 250: 0
   Query 251: 528
   Query 252: 0
   Query 253: 384
   Query 254: 456
   Query 255: 0
   Query 256: 96
   Query 257: 144
   Query 258: 840
   Query 259: 192
   Query 260: 0
   Query 261: 432
   Query 262: 336
   Query 263: 768
   Query 264: 768
   Query 265: 882
   Query 266: 60
   Query 267: 528
   Query 268: 304
   Query 269: 680
   Query 270: 816
   Query 271: 464
   Query 272: 576
   Query 273: 384
   Query 274: 528
   Query 275: 384
   Query 276: 88
   Query 277: 576
   Query 278: 768
   Query 279: 72
   Query 280: 384
   Query 281: 528
   Query 282: 288
   Query 283: 528
   Query 284: 384
   Query 285: 768
   Query 286: 224
   Query 287: 528
   Query 288: 576
   Query 289: 384
   Query 290: 384
   Query 291: 12
   Query 292: 75
   Query 293: 384
   Query 294: 248
   Query 295: 72
   Query 296: 600
   Query 297: 160
   Query 298: 816
   Query 299: 0
   Query 300: 384
   Query 301: 756
   Query 302: 768
   Query 303: 312
   Query 304: 160
   Query 305: 336
   Query 306: 384
   Query 307: 528
   Query 308: 558
   Query 309: 768
   Query 310: 336
   Query 311: 336
   Query 312: 528
   Query 313: 304
   Query 314: 144
   Query 315: 612
   Query 316: 576
   Query 317: 12
   Query 318: 498
   Query 319: 720
   Query 320: 768
   Query 321: 384
   Query 322: 384
   Query 323: 792
   Query 324: 240
   Query 325: 384
   Query 326: 840
   Query 327: 384
   Query 328: 753
   Query 329: 768
   Query 330: 0
   Query 331: 48
   Query 332: 528
   Query 333: 696
   Query 334: 480
   Query 335: 528
   Query 336: 336
   Query 337: 516
   Query 338: 312
   Query 339: 144
   Query 340: 432
   Query 341: 624
   Query 342: 828
   Query 343: 528
   Query 344: 144
   Query 345: 0
   Query 346: 720
   Query 347: 96
   Query 348: 792
   Query 349: 72
   Query 350: 600
   Query 351: 180
   Query 352: 528
   Query 353: 18
   Query 354: 0
   Query 355: 816
   Query 356: 768
   Query 357: 336
   Query 358: 528
   Query 359: 48
   Query 360: 144
   Query 361: 0
   Query 362: 768
   Query 363: 768
   Query 364: 24
   Query 365: 528
   Query 366: 528
   Query 367: 456
   Query 368: 0
   Query 369: 384
   Query 370: 120
   Query 371: 384
   Query 372: 30
   Query 373: 452
   Query 374: 224
   Query 375: 0
   Query 376: 840
   Query 377: 72
   Query 378: 192
   Query 379: 384
   Query 380: 432
   Query 381: 768
   Query 382: 672
   Query 383: 864
   Query 384: 144
